"","Mound_ID","Shell_ID","Cage_ID","Cage_type","Mound_Num","Site","Sample_dat","Num_spat","Length_1","Length_2","Length_3","Length_4","Length_5","Crabs","Drills","Mound_Treat","Deployment","treatbi","obs","Drillspa"
"103","ClamShoal32",137951,"13795","Small Mesh",32,"Clam Shoal","FAll_2010",0,NA,NA,NA,NA,NA,19,3,"Old","Early","Old",103,1
"104","ClamShoal32",128691,"12869","Open",32,"Clam Shoal","FAll_2010",1,14.2,NA,NA,NA,NA,0,0,"Old","Early","Old",104,0
"105","ClamShoal32",116871,"11687","Control",32,"Clam Shoal","FAll_2010",2,10.9,9.2,NA,NA,NA,3,0,"Old","Early","Old",105,0
"106","ClamShoal33",147391,"14739","Large Mesh",33,"Clam Shoal","FAll_2010",2,22.1,18.6,NA,NA,NA,8,3,"Old","Early","Old",106,1
"107","ClamShoal33",148992,"14899","Open",33,"Clam Shoal","Spring_2011",0,NA,NA,NA,NA,NA,5,1,"Old","Early","Old",107,1
"108","ClamShoal33",124131,"12413","Small Mesh",33,"Clam Shoal","FAll_2010",0,NA,NA,NA,NA,NA,10,0,"Old","Early","Old",108,0
"109","ClamShoal33",143762,"14376","Control",33,"Clam Shoal","FAll_2010",2,11.2,15.3,NA,NA,NA,5,0,"Old","Early","Old",109,0
"110","ClamShoal33",143761,"14376","Control",33,"Clam Shoal","Spring_2011",0,NA,NA,NA,NA,NA,3,3,"Old","Early","Old",110,1
"111","ClamShoal33",142351,"14235","Roof",33,"Clam Shoal","Spring_2011",0,NA,NA,NA,NA,NA,7,7,"Old","Early","Old",111,1
"112","ClamShoal33",142351,"14235","Roof",33,"Clam Shoal","FAll_2010",0,NA,NA,NA,NA,NA,0,0,"Old","Early","Old",112,0
"113","ClamShoal33",147391,"14739","Large Mesh",33,"Clam Shoal","Spring_2011",0,NA,NA,NA,NA,NA,13,11,"Old","Early","Old",113,1
"114","ClamShoal33",124131,"12413","Small Mesh",33,"Clam Shoal","Spring_2011",0,NA,NA,NA,NA,NA,24,7,"Old","Early","Old",114,1
"115","ClamShoal33",148991,"14899","Open",33,"Clam Shoal","FAll_2010",0,NA,NA,NA,NA,NA,0,0,"Old","Early","Old",115,0
